ts,side,usd_notional,cascade
2026-05-07 13:44:37.698,sell,10502.72,0
2026-05-07 13:44:38.032,sell,7456.08,0
2026-05-07 13:44:38.076,sell,721.61,0
2026-05-07 13:44:38.116,sell,80.18,0
2026-05-07 13:44:38.263,sell,80.17,0
2026-05-07 13:44:38.351,sell,400.89,0
2026-05-07 13:44:38.662,sell,400.82,0
2026-05-07 13:44:39.194,sell,23167.19,0
2026-05-07 13:44:59.620,sell,80.15,0
2026-05-07 13:45:00.214,sell,320.6,0
2026-05-07 13:45:00.397,sell,160.28,0
2026-05-07 13:45:00.412,sell,240.46,0
2026-05-07 13:45:48.530,sell,160.28,0
2026-05-07 13:45:48.711,sell,320.56,0
